Reaction ID,RXN type,Reactant(s)
30968373,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Cc1cc(C)cc(Br)c1']"
31609818,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'CC(=O)c1ccc(Cl)cc1Br']"
32289721,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COc1ccc(Br)c(C2OCCCO2)c1']"
32352144,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'CC(=O)c1ccccc1Br']"
33465684,inter_rxn_one_to_beta,"['C=CC#N', 'Clc1ccccc1']"
33821300,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Brc1ccc(-c2cnc(C3CC3)o2)cc1']"
33964223,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(=O)n1cc(I)cn1']"
35964092,inter_rxn_one_to_beta,"['C=Cc1ccccc1C', 'Ic1ccccc1']"
38128978,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Nc1ccc(Br)cc1']"
38994924,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=Cc1c(F)cc(Br)cc1F']"
39267463,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1nnn(Cc2cc(C(F)(F)F)ccc2Br)n1']"
40608217,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'CCn1nnc2c(C)c(Br)ccc21']"
41575659,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Nc1ccc(Br)cc1I']"
1394220,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Nc1ccccc1Br']"
3339937,inter_rxn_one_to_beta,"['C=CC(N)=O', 'Cc1ccc(I)cc1']"
4718023,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'COc1ccc(Br)cc1']"
4896634,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Br/C=C/c1ccccc1']"
5186963,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Brc1cnc2ccccc2c1']"
8993104,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'COc1ccc(I)cc1']"
9177596,inter_rxn_one_to_beta,"['C=Cc1ccccn1', 'Ic1ccccc1']"
9178442,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'O=C(O)c1ccc(I)cc1']"
9211020,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1cc(F)ccc1Br']"
10101968,inter_rxn_one_to_beta,"['C=Cc1ccncc1', 'CC(C)(C)OC(=O)N[C@H](COc1cnc(Cl)c(Br)c1)Cc1c[nH]c2ccccc12']"
10283051,inter_rxn_one_to_beta,"['C=Cc1ccc(F)cc1', 'Fc1cc(Br)cc(OCc2ccccc2)c1']"
10288716,inter_rxn_one_to_beta,"['C=Cc1ccc(OC(C)=O)cc1', 'Fc1cc(Br)cc(OCc2ccccc2)c1']"
10430247,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CN(C)c1ccc2cc(Br)ccc2c1']"
23055294,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Oc1ccc(Br)c(Cl)c1Cl']"
23059888,inter_rxn_one_to_beta,"['C=CCl', 'Cc1c(Br)c(C(F)(F)F)nn1C']"
23226809,inter_rxn_one_to_beta,"['C=CC1OCCO1', 'Brc1ccc2c(c1)OCO2']"
23228040,inter_rxn_one_to_beta,"['C=CCNC(=O)OC(C)(C)C', 'COc1cc(-c2csc3c(I)cnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C']"
24798333,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cn1nc(NC(=O)c2ccc3ccccc3c2)c2c(I)cccc21']"
25669324,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Brc1cccc2cc[nH]c12']"
28011283,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COc1ccc2nccc(Br)c2c1']"
28013814,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'COc1ccc(Br)c(N(CC2COC(=O)O2)C(=O)C(C)(C)C)n1']"
28282457,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'O=C(Nc1ccc(Cl)c(F)c1Br)C(F)(F)F']"
28793330,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(=O)OC[C@H]1O[C@@H](n2cc(I)c(=O)[nH]c2=O)[C@H](F)[C@@H]1OC(C)=O']"
29002613,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Fc1ccc(Br)cc1F']"
29288102,inter_rxn_one_to_beta,"['C=CC(=O)NNC(=O)OC(C)(C)C', 'COc1nc(Br)ccc1-n1cnc(C)c1']"
29508365,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Oc1ccc(-c2ccc(Br)cc2)cc1C12CC3CC(CC(C3)C1)C2']"
29759471,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Brc1cccs1']"
29808409,inter_rxn_one_to_beta,"['C=Cc1ccncc1', 'C[Si](C)(C)CCOCn1nc(I)c2ccc([C@@H]3C[C@@]34C(=O)Nc3ccccc34)cc21']"
30065213,inter_rxn_one_to_beta,"['C=CCCCCC', 'O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I']"
30278326,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Nc1cccc(Br)c1F']"
32215784,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'O=Cc1cccc(Br)c1']"
32236115,inter_rxn_one_to_beta,"['C=CC(N)=O', 'Fc1cc(Br)cc(C(F)(F)F)c1']"
32289740,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Fc1cccc(Br)c1C1OCCCO1']"
32289943,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Brc1ccccc1C1OCCCO1']"
32831722,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Oc1ccccc1I']"
32841448,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'FC(F)(F)c1ccc(Br)cc1Cl']"
32913942,inter_rxn_one_to_beta,"['C=CB1OC(C)(C)C(C)(C)O1', 'CC(C)N1CCC(Oc2ccc(Br)cc2)CC1']"
35565302,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'N#Cc1ccccc1Cl']"
36641978,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Brc1ccsc1']"
37532557,inter_rxn_one_to_beta,"['C=CC(=O)N(C)C', 'O=Cc1ccccc1Br']"
38494175,inter_rxn_one_to_beta,"['C=Cc1ccc(Cl)cc1', 'O=[N+]([O-])c1ccc(I)cc1']"
40604736,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COc1cc(Br)cc2nnn(C)c12']"
41575660,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Nc1cc(F)c(Br)cc1I']"
47909820,inter_rxn_one_to_beta,"['C=CC(=O)OCc1ccccc1', 'CC(=O)c1ccc(I)cc1']"
52614940,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COCOc1cc(I)ccc1Br']"
3354406,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COc1ncc(Br)cn1']"
4093650,inter_rxn_one_to_beta,"['C=CC(=O)O', 'Oc1ccc(Br)cc1']"
4926996,inter_rxn_one_to_beta,"['C=CC(=O)OCC(CC)CCCC', 'COc1ccc(Br)cc1']"
5210999,inter_rxn_one_to_beta,"['C=Cc1ccc(Cl)cc1', 'O=Cc1ccc(Br)cc1']"
8609470,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Cc1ccccc1Cl']"
8748501,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Ic1cccc2ccccc12']"
9245222,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'COC(=O)/C=C/c1cccc(N(Cc2ccc(Br)cc2)C(=O)C2CCCCC2)c1']"
9263516,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COc1c(CN(C(=O)c2ccccc2)c2cccc(Br)c2)ccc2c1OC(C)(C)C1C2C1(Cl)Cl']"
9308016,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'O=C1CCc2cc(Br)cnc2N1']"
9546235,inter_rxn_one_to_beta,"['C=Cc1ccc2ccc(Cl)cc2n1', 'COC(=O)c1ccccc1CC[C@H](O)c1cccc(Br)c1']"
9603156,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'N#Cc1ccc(I)cc1']"
9772917,inter_rxn_one_to_alpha,"['C=COCCCC', 'O=C1CCCc2c(OS(=O)(=O)C(F)(F)F)cccc21']"
10101972,inter_rxn_one_to_beta,"['C=Cc1ccncc1', 'Nc1cnc(Cl)c(Br)c1']"
10280248,inter_rxn_one_to_beta,"['C=Cc1ccc([N+](=O)[O-])cc1', 'Ic1ccccc1']"
10359072,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Brc1cccnc1']"
11078847,inter_rxn_one_to_beta,"['C=Cc1ccc(N(C)C)cc1', 'FCCOCCOCCOc1ncc(I)cc1Br']"
11217131,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'FC(F)(F)c1ccc(Br)cc1']"
11279821,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Oc1ccc(Br)cc1']"
23138667,inter_rxn_one_to_beta,"['C=CC(N)=O', 'Cc1cc(Br)cc(C)c1N']"
23140047,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1ccc(-c2c(CNC(=O)OC(C)(C)C)c(CC(C)C)nc3ccc(OS(=O)(=O)C(F)(F)F)cc23)cc1']"
23405959,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O']"
23576352,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CCC(CC)(c1ccc(O)c(C)c1)c1ccc(OS(=O)(=O)C(F)(F)F)c(C)c1']"
27955275,inter_rxn_one_to_beta,"['C=CC#N', 'Nc1ccccc1I']"
28257656,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'O=Cc1cccc(Br)n1']"
28479106,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'FC(F)(F)c1cccc(I)c1']"
